GEO.id,GEO.id2,GEO.display-label,B16004_001E,B16004_001M,B16004_002E,B16004_002M,B16004_003E,B16004_003M,B16004_004E,B16004_004M,B16004_005E,B16004_005M,B16004_006E,B16004_006M,B16004_007E,B16004_007M,B16004_008E,B16004_008M,B16004_009E,B16004_009M,B16004_010E,B16004_010M,B16004_011E,B16004_011M,B16004_012E,B16004_012M,B16004_013E,B16004_013M,B16004_014E,B16004_014M,B16004_015E,B16004_015M,B16004_016E,B16004_016M,B16004_017E,B16004_017M,B16004_018E,B16004_018M,B16004_019E,B16004_019M,B16004_020E,B16004_020M,B16004_021E,B16004_021M,B16004_022E,B16004_022M,B16004_023E,B16004_023M,B16004_024E,B16004_024M,B16004_025E,B16004_025M,B16004_026E,B16004_026M,B16004_027E,B16004_027M,B16004_028E,B16004_028M,B16004_029E,B16004_029M,B16004_030E,B16004_030M,B16004_031E,B16004_031M,B16004_032E,B16004_032M,B16004_033E,B16004_033M,B16004_034E,B16004_034M,B16004_035E,B16004_035M,B16004_036E,B16004_036M,B16004_037E,B16004_037M,B16004_038E,B16004_038M,B16004_039E,B16004_039M,B16004_040E,B16004_040M,B16004_041E,B16004_041M,B16004_042E,B16004_042M,B16004_043E,B16004_043M,B16004_044E,B16004_044M,B16004_045E,B16004_045M,B16004_046E,B16004_046M,B16004_047E,B16004_047M,B16004_048E,B16004_048M,B16004_049E,B16004_049M,B16004_050E,B16004_050M,B16004_051E,B16004_051M,B16004_052E,B16004_052M,B16004_053E,B16004_053M,B16004_054E,B16004_054M,B16004_055E,B16004_055M,B16004_056E,B16004_056M,B16004_057E,B16004_057M,B16004_058E,B16004_058M,B16004_059E,B16004_059M,B16004_060E,B16004_060M,B16004_061E,B16004_061M,B16004_062E,B16004_062M,B16004_063E,B16004_063M,B16004_064E,B16004_064M,B16004_065E,B16004_065M,B16004_066E,B16004_066M,B16004_067E,B16004_067M
0600000US0901152350,901152350,"New London town, New London County, Connecticut",25738,316,3737,431,2045,438,1514,342,1071,323,285,173,151,110,7,16,167,165,121,156,46,68,0,24,0,24,11,18,11,18,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,18606,563,12606,757,4638,583,2297,387,869,241,966,304,506,259,754,249,284,103,320,169,125,96,25,39,462,214,142,93,175,129,141,176,4,9,146,148,51,58,95,138,0,24,0,24,3395,381,2614,382,511,147,123,66,105,66,168,110,115,100,181,106,74,48,63,68,44,57,0,24,69,60,21,24,6,10,42,55,0,24,20,32,0,24,10,16,10,16,0,24
0600000US0901155500,901155500,"North Stonington town, New London County, Connecticut",4980,175,688,163,674,159,14,23,14,23,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,3052,251,2862,241,44,67,44,67,0,18,0,18,0,18,124,157,124,157,0,18,0,18,0,18,22,36,22,36,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,1240,243,1224,240,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,16,29,16,29,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0600000US0901156270,901156270,"Norwich town, New London County, Connecticut",37145,350,5993,627,4839,562,685,242,598,234,33,39,54,49,0,27,324,230,217,173,107,112,0,27,0,27,145,66,109,59,36,46,0,27,0,27,0,27,0,27,0,27,0,27,0,27,24491,705,18402,883,2942,533,1854,394,709,268,255,136,124,123,1888,550,1127,418,509,242,238,191,14,27,1193,333,505,197,279,126,336,130,73,61,66,57,35,40,31,47,0,27,0,27,6661,582,5550,545,251,102,28,41,77,67,108,78,38,47,567,196,304,92,125,106,81,54,57,65,281,114,101,81,28,39,52,49,100,50,12,18,0,27,12,18,0,27,0,27
0600000US0901157040,901157040,"Old Lyme town, New London County, Connecticut",7148,122,1174,183,1102,167,72,101,0,18,4,9,68,100,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,4022,210,3767,242,112,133,27,31,48,72,16,26,21,32,121,64,100,55,21,22,0,18,0,18,22,20,17,17,5,10,0,18,0,18,0,18,0,18,0,18,0,18,0,18,1952,268,1795,246,10,12,10,12,0,18,0,18,0,18,139,72,99,57,25,23,15,25,0,18,0,18,0,18,0,18,0,18,0,18,8,12,8,12,0,18,0,18,0,18
0600000US0901162150,901162150,"Preston town, New London County, Connecticut",4429,97,717,250,692,250,9,14,9,14,0,13,0,13,0,13,16,20,16,20,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,2872,254,2613,293,25,25,15,17,10,18,0,13,0,13,84,47,75,43,9,14,0,13,0,13,150,133,10,15,57,59,72,84,11,18,0,13,0,13,0,13,0,13,0,13,840,148,733,147,0,13,0,13,0,13,0,13,0,13,94,72,87,69,7,12,0,13,0,13,13,21,0,13,13,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0600000US0901166210,901166210,"Salem town, New London County, Connecticut",3926,74,705,228,670,234,35,41,35,41,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,2554,153,2415,183,94,97,58,61,36,56,0,13,0,13,26,28,26,28,0,13,0,13,0,13,19,29,0,13,19,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13,667,142,577,161,90,112,90,112,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0600000US0901171670,901171670,"Sprague town, New London County, Connecticut",2784,60,500,126,474,128,12,21,12,21,0,13,0,13,0,13,14,22,14,22,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1809,114,1715,113,32,32,32,32,0,13,0,13,0,13,51,58,26,41,25,41,0,13,0,13,7,11,7,11,0,13,0,13,0,13,4,6,4,6,0,13,0,13,0,13,475,97,448,98,22,36,11,19,11,18,0,13,0,13,5,7,0,13,5,7,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0600000US0901173770,901173770,"Stonington town, New London County, Connecticut",17822,137,2303,307,2275,306,9,14,9,14,0,20,0,20,0,20,10,15,10,15,0,20,0,20,0,20,9,13,9,13,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,10686,371,10026,386,236,123,194,108,36,30,6,11,0,20,247,89,240,90,7,14,0,20,0,20,167,82,142,81,25,28,0,20,0,20,10,11,6,8,4,8,0,20,0,20,4833,380,4464,393,77,61,77,61,0,20,0,20,0,20,253,88,166,65,64,51,23,23,0,20,28,38,28,38,0,20,0,20,0,20,11,17,1,2,10,17,0,20,0,20
0600000US0901178600,901178600,"Voluntown town, New London County, Connecticut",2453,45,323,77,323,77,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1740,112,1678,131,35,46,4,8,0,13,31,45,0,13,16,14,16,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,16,11,16,0,13,0,13,0,13,390,76,377,76,0,13,0,13,0,13,0,13,0,13,8,9,5,8,3,4,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,7,0,13,0,13,5,7,0,13
0600000US0901180280,901180280,"Waterford town, New London County, Connecticut",17928,258,2327,254,2169,287,55,64,55,64,0,20,0,20,0,20,19,24,19,24,0,20,0,20,0,20,68,64,14,25,43,50,11,17,0,20,16,20,16,20,0,20,0,20,0,20,11447,364,10393,463,377,153,265,111,90,88,9,13,13,21,368,142,275,120,58,46,35,33,0,20,173,124,53,50,77,68,43,49,0,20,136,99,126,96,6,13,4,10,0,20,4154,310,3899,303,33,38,27,32,6,13,0,20,0,20,140,66,94,54,34,30,12,18,0,20,60,67,27,41,0,20,0,20,33,58,22,23,17,22,0,20,5,9,0,20
